,Extroversion (E-Score),Openness (O-Score),Agreeableness (A-Score),Conscientiousness (C-Score),Impulsiveness (BIS-11),Sensation (SS),Age_18-24,Age_25-34,Age_35-44,Age_45-54,Age_55-64,Age_65+,Gender_F,Gender_M,Alcohol_Frequent,Amphetamines_Frequent,Amyl_Frequent,Benzos_Frequent,Caffeine_Frequent,Chocolate_Frequent,Cocaine_Frequent,Crack_Frequent,Ecstasy_Frequent,Heroin_Frequent,Ketamine_Frequent,Legal_Highs_Frequent,LSD_Frequent,Methamphetamine_Frequent,Magic_Mushrooms_Frequent,Nicotine_Frequent,Semer_Frequent,Inhalants_Frequent,Neuroticism (N-Score)
Extroversion (E-Score),1.0,0.2504694608307497,0.14585478313807784,0.3136963606864863,0.1206159094498249,0.21236357408362974,0.021908905889921466,0.022391412444506584,-0.042861578218807456,0.007569041090715067,-0.01165509710024025,-0.036961531572907755,0.052314891046366475,-0.05231489104636642,0.1302666844094853,-0.03477266446191371,-0.0022445405723163464,-0.0799348042879258,0.058777113107765365,0.020292377096390368,0.04300477245456215,-0.037935411488963226,0.09337098937612026,-0.0720376465735785,-0.0058635838272886615,-0.0270767977379849,0.05179272579487406,-0.10047888361836323,0.01958114598114411,0.004177326348317088,0.01579698742356779,0.02692561384866007,-0.416182156812902
Openness (O-Score),0.2504694608307497,1.0,0.039933229881823594,-0.04720793578323494,0.2665316463526456,0.42279891245177986,0.23073948920979076,-0.021025421749994763,-0.12931300225497364,-0.09502757159583855,-0.03797913370575402,-0.07102546355541875,-0.13742776183611147,0.13742776183611125,0.04850997350065491,0.11154294584762156,0.007035291406006589,0.1165291544163403,0.04429416486318922,0.02048864055956622,0.07740788748427013,0.008981285961510483,0.16929782263520457,0.043198494795286084,0.09919185241953402,0.16819043396845743,0.2273682066625385,0.09260062187212952,0.2115211889800808,0.17480528630681194,0.007749609978651373,0.0648468691358377,0.036813606440532345
Agreeableness (A-Score),0.14585478313807784,0.039933229881823594,1.0,0.23706289732867158,-0.22101212303318837,-0.20687804825731415,-0.07494388478913326,0.01050223101373142,0.007554239055829856,0.07643780290445938,0.00018957277529042576,0.002260258989910003,0.1975330344256308,-0.19753303442563075,0.02916758179959439,-0.12186500691567591,-0.055094939783951094,-0.13702108771466548,0.002842621354088793,0.006530993059496694,-0.13193647268019196,-0.0569786991565279,-0.09196724598424653,-0.1702977541623578,-0.049771827970847365,-0.10701767907624449,-0.03225018879739237,-0.12150570710500351,-0.035571722146218336,-0.08340667990066886,0.0358411342746984,-0.03463094913010939,-0.194682501765322
Conscientiousness (C-Score),0.3136963606864863,-0.04720793578323494,0.23706289732867158,1.0,-0.3448052443941328,-0.22589114949858508,-0.19116305366962086,0.04362581346653379,0.06271309905156079,0.09650744697906606,0.029928469422042712,0.057228611952220135,0.18020154914080308,-0.18020154914080283,0.03400955446721241,-0.1851739796653159,-0.03667592803327525,-0.14780407919922783,-0.017056222226358497,-0.020199845916679247,-0.08206941239205962,-0.05039902312907513,-0.09808159240966137,-0.11259738768887492,-0.10421652078660924,-0.17645782020824965,-0.08215992007223567,-0.13781223554373123,-0.09094998601235131,-0.21010199508756067,0.038007781469834995,-0.03328010431320404,-0.3933079393510611
Impulsiveness (BIS-11),0.1206159094498249,0.2665316463526456,-0.22101212303318837,-0.3448052443941328,1.0,0.6198126718883308,0.1927160470834663,-0.017818093184666622,-0.08818579946007118,-0.11055025443139142,-0.02130853818279037,-0.04477777236553185,-0.1641375530628197,0.16413755306281946,0.013348992842402608,0.21197565158857015,0.06203810650846574,0.1764053706658104,0.08252730129927115,-0.014293855635694425,0.13925110856848952,0.06100769418133393,0.13122505537217796,0.12040439524941043,0.07084981626740432,0.1611046660492742,0.10425218842535826,0.12289536305514756,0.10954961045437268,0.23048253341336444,-0.030421682640519563,0.08040839839085134,0.19014607474764383
Sensation (SS),0.21236357408362974,0.42279891245177986,-0.20687804825731415,-0.22589114949858508,0.6198126718883308,1.0,0.3069449619341366,0.004641688261933535,-0.1456226167211708,-0.16643766666775509,-0.0946383906961783,-0.09934290204963045,-0.2531631039326951,0.2531631039326949,0.07385047653855871,0.20414129754655796,0.10929146526251585,0.1892606269300561,0.07615828803089934,0.0066283891320213645,0.19674387381033231,0.07257534483182558,0.215148408894843,0.12414391147083538,0.10380790787434213,0.2315271464786386,0.20202220498493817,0.1487663746281167,0.18753838583609703,0.2680719488707266,-0.0047923177307904125,0.11672072581631736,0.09562982891831728
Age_18-24,0.021908905889921466,0.23073948920979076,-0.07494388478913326,-0.19116305366962086,0.1927160470834663,0.3069449619341366,1.0,-0.4211469626151862,-0.3471889902992121,-0.30930238151513817,-0.16391441955870903,-0.07064944949034484,-0.18873089700908932,0.1887308970090892,0.034968955317516676,0.1678296368395809,0.05380944116444098,0.09803958194526012,0.010385956917542254,-0.001152293965184726,0.14802513248238222,0.012862703955935988,0.23879506095485598,0.1213124986089679,0.14548343417981371,0.23722848217856304,0.26604327994195937,0.10390977752656046,0.220501866949859,0.2165813528409237,0.03201952332095373,0.10427937078932986,0.10423269824815562
Age_25-34,0.022391412444506584,-0.021025421749994763,0.01050223101373142,0.04362581346653379,-0.017818093184666622,0.004641688261933535,-0.4211469626151862,1.0,-0.2824296192654592,-0.25160980414135603,-0.13334030859730808,-0.05747157219379599,0.1305155369329209,-0.13051553693292095,0.019847046089315905,-0.0026782915269226194,0.02951428309424472,0.035652648008792906,0.004348595435085451,-0.004025434026687001,0.023765285431663487,-0.013105476830697774,-0.004531804781740659,-0.02594224107986775,0.005109456102118948,-0.030962679701375933,-0.04018603198006067,0.039681087523460085,-0.03753526021798941,-0.007993116749745592,-0.013484924991005794,0.002963756027727362,0.038331110855018655
Age_35-44,-0.042861578218807456,-0.12931300225497364,0.007554239055829856,0.06271309905156079,-0.08818579946007118,-0.1456226167211708,-0.3471889902992121,-0.2824296192654592,1.0,-0.2074243948163997,-0.10992430485693712,-0.04737894106363165,0.06531575728431602,-0.06531575728431584,-0.010368796071164102,-0.10181048110791215,-0.03478223169348719,-0.07594362468326132,0.01577206443975197,-0.013992738550683373,-0.07329655195369074,0.042634691485318836,-0.11518164511017874,-0.0328758868022641,-0.08062738674978201,-0.11168493251524762,-0.1308152847714189,-0.06746244853506622,-0.09280504154848165,-0.0713477233222582,-0.011116825971664057,-0.05521244626094486,-0.015269983562277023
Age_45-54,0.007569041090715067,-0.09502757159583855,0.07643780290445938,0.09650744697906606,-0.11055025443139142,-0.16643766666775509,-0.30930238151513817,-0.25160980414135603,-0.2074243948163997,1.0,-0.09792893849930304,-0.04220876731147843,0.03239530242451721,-0.032395302424516936,-0.022618475488772737,-0.053356231545001846,-0.04405132221877459,-0.058572369197677145,-0.01865978967522164,0.035662430029502055,-0.10416589725180811,-0.030245001662550848,-0.12033091268405377,-0.06427114415130719,-0.07531342250867669,-0.10766441514594703,-0.10778639478127418,-0.08486903168009756,-0.09890471142292707,-0.1450436292322815,-0.009903714818150486,-0.058260582776100016,-0.0986691065858569
Age_55-64,-0.01165509710024025,-0.03797913370575402,0.00018957277529042576,0.029928469422042712,-0.02130853818279037,-0.0946383906961783,-0.16391441955870903,-0.13334030859730808,-0.10992430485693712,-0.09792893849930304,1.0,-0.022368484717958676,-0.017026125282930696,0.01702612528293074,-0.035422374827646215,-0.07184913252839972,-0.0339690922628234,-0.05197709473951473,-0.03028556960996256,-0.01225096985330611,-0.051515024966714916,-0.023591092386421618,-0.08701520372640907,-0.03874785552394236,-0.04764607656219251,-0.05788002007938568,-0.07079271644083199,-0.037839741061982804,-0.060329205057688726,-0.06959831057134955,-0.005248461579700684,-0.03087512473106894,-0.09164881572579119
Age_65+,-0.036961531572907755,-0.07102546355541875,0.002260258989910003,0.057228611952220135,-0.04477777236553185,-0.09934290204963045,-0.07064944949034484,-0.05747157219379599,-0.04737894106363165,-0.04220876731147843,-0.022368484717958676,1.0,-0.010857832177238793,0.010857832177238883,-0.054440025830594534,-0.03732551189651427,-0.014641162592749463,0.0021625544434209945,0.003459531053447875,-0.025789899156163684,-0.02980178381989298,-0.010168096830429229,-0.037504792178208055,-0.016700877623017467,-0.02053613762935633,-0.03759427450871427,-0.0305126690985201,-0.01202066704946299,-0.029801783819892975,-0.03670180343466979,-0.0022621616955686478,-0.013307618518665323,-0.0462829024122517
Gender_F,0.052314891046366475,-0.13742776183611147,0.1975330344256308,0.18020154914080308,-0.1641375530628197,-0.2531631039326951,-0.18873089700908932,0.1305155369329209,0.06531575728431602,0.03239530242451721,-0.017026125282930696,-0.010857832177238793,1.0,-1.0,0.027541410840383168,-0.140353709085423,-0.08356888583219126,-0.10577694904363728,-0.010961453883228164,0.040303881134466146,-0.08955685620363447,-0.08278993443292071,-0.13666789372623162,-0.0801402491249817,-0.10843446483935426,-0.20156119652907897,-0.14959591446282228,-0.10881288874480353,-0.14682358263083042,-0.17289578467992553,0.023051009289393257,-0.05573468328200138,0.06530723898290212
Gender_M,-0.05231489104636642,0.13742776183611125,-0.19753303442563075,-0.18020154914080283,0.16413755306281946,0.2531631039326949,0.1887308970090892,-0.13051553693292095,-0.06531575728431584,-0.032395302424516936,0.01702612528293074,0.010857832177238883,-1.0,1.0,-0.027541410840383185,0.14035370908542266,0.08356888583219116,0.10577694904363712,0.010961453883228167,-0.040303881134466105,0.08955685620363432,0.08278993443292063,0.13666789372623137,0.08014024912498159,0.10843446483935422,0.2015611965290786,0.14959591446282228,0.10881288874480338,0.14682358263083048,0.17289578467992553,-0.023051009289393277,0.05573468328200134,-0.06530723898290225
Alcohol_Frequent,0.1302666844094853,0.04850997350065491,0.02916758179959439,0.03400955446721241,0.013348992842402608,0.07385047653855871,0.034968955317516676,0.019847046089315905,-0.010368796071164102,-0.022618475488772737,-0.035422374827646215,-0.054440025830594534,0.027541410840383168,-0.027541410840383185,1.0,0.0007145645409403752,0.04062099055802634,0.007527641555668893,0.11655149253101363,0.06513843128466319,0.06585611691529038,0.048055479415650866,0.07304771020343434,-0.021928489773666408,0.04852060075199403,-0.009559817984145558,0.02653990324577898,-0.06144120015425539,0.03086068931683467,0.025184059962101903,0.010691210617797034,0.02113423663576461,-0.031872016788988954
Amphetamines_Frequent,-0.03477266446191371,0.11154294584762156,-0.12186500691567591,-0.1851739796653159,0.21197565158857015,0.20414129754655796,0.1678296368395809,-0.0026782915269226194,-0.10181048110791215,-0.053356231545001846,-0.07184913252839972,-0.03732551189651427,-0.140353709085423,0.14035370908542266,0.0007145645409403752,1.0,0.17326143593984986,0.36834087258279613,0.06697606448446987,-0.0035819382119889383,0.24669711336539785,0.10093646475515329,0.2477182443285477,0.18655964590552618,0.18353210768690145,0.3279890658534014,0.1580429944918115,0.2525339673974337,0.17198337437390007,0.18422538222568918,0.06060631403637611,0.09249705066467406,0.11166081235593867
Amyl_Frequent,-0.0022445405723163464,0.007035291406006589,-0.055094939783951094,-0.03667592803327525,0.06203810650846574,0.10929146526251585,0.05380944116444098,0.02951428309424472,-0.03478223169348719,-0.04405132221877459,-0.0339690922628234,-0.014641162592749463,-0.08356888583219126,0.08356888583219116,0.04062099055802634,0.17326143593984986,1.0,0.12440618526433436,0.03905304166458682,0.0024995805202578736,0.1772113035961625,0.020055006411128597,0.16125758569429383,0.01863939706421008,0.11401016540982584,0.1716260161580953,0.01783081234144204,0.07953149932833538,0.046347358097938635,0.1018623658796974,-0.003435350240264685,0.11642723169035617,-0.0042333003116435085
Benzos_Frequent,-0.0799348042879258,0.1165291544163403,-0.13702108771466548,-0.14780407919922783,0.1764053706658104,0.1892606269300561,0.09803958194526012,0.035652648008792906,-0.07594362468326132,-0.058572369197677145,-0.05197709473951473,0.0021625544434209945,-0.10577694904363728,0.10577694904363712,0.007527641555668893,0.36834087258279613,0.12440618526433436,1.0,0.0485434492387092,-0.027969576381866586,0.23920731530773726,0.09676915424074412,0.1478198296389995,0.2336105879343314,0.1338425864831932,0.233842945608468,0.08029204352097362,0.38364040719432846,0.11380185323016505,0.18986852930907575,0.05306101436336366,0.137559215429621,0.2329857776373045
Caffeine_Frequent,0.058777113107765365,0.04429416486318922,0.002842621354088793,-0.017056222226358497,0.08252730129927115,0.07615828803089934,0.010385956917542254,0.004348595435085451,0.01577206443975197,-0.01865978967522164,-0.03028556960996256,0.003459531053447875,-0.010961453883228164,0.010961453883228167,0.11655149253101363,0.06697606448446987,0.03905304166458682,0.0485434492387092,1.0,0.09358741823051708,0.05612634215883884,0.005995941549718448,0.041596481033585944,0.01835923234624594,0.02237151599265472,0.035456787406377206,0.02792211374947425,0.02996982026025581,0.024972586278564603,0.10922900848229286,0.0060339672064583915,0.03549601865108914,0.02065233274704448
Chocolate_Frequent,0.020292377096390368,0.02048864055956622,0.006530993059496694,-0.020199845916679247,-0.014293855635694425,0.0066283891320213645,-0.001152293965184726,-0.004025434026687001,-0.013992738550683373,0.035662430029502055,-0.01225096985330611,-0.025789899156163684,0.040303881134466146,-0.040303881134466105,0.06513843128466319,-0.0035819382119889383,0.0024995805202578736,-0.027969576381866586,0.09358741823051708,1.0,0.011557958131065998,0.02438105250771146,0.032852833193211306,-0.017500282552590143,0.001769194484167548,0.018924886311760387,0.022811761069487273,-0.041559972729992775,0.0030007110465967886,-0.004983600126531463,0.00542420907278716,-0.0038298377239263386,-0.009160238921612473
Cocaine_Frequent,0.04300477245456215,0.07740788748427013,-0.13193647268019196,-0.08206941239205962,0.13925110856848952,0.19674387381033231,0.14802513248238222,0.023765285431663487,-0.07329655195369074,-0.10416589725180811,-0.051515024966714916,-0.02980178381989298,-0.08955685620363447,0.08955685620363432,0.06585611691529038,0.24669711336539785,0.1772113035961625,0.23920731530773726,0.05612634215883884,0.011557958131065998,1.0,0.17351117869618393,0.3765641757534974,0.23706579313012607,0.1556233389297483,0.15818581015326158,0.14144116411457477,0.18992944751016166,0.13454601106276942,0.18446643641656857,0.07590692252651762,0.10229793758557061,0.0913131528086273
Crack_Frequent,-0.037935411488963226,0.008981285961510483,-0.0569786991565279,-0.05039902312907513,0.06100769418133393,0.07257534483182558,0.012862703955935988,-0.013105476830697774,0.042634691485318836,-0.030245001662550848,-0.023591092386421618,-0.010168096830429229,-0.08278993443292071,0.08278993443292063,0.048055479415650866,0.10093646475515329,0.020055006411128597,0.09676915424074412,0.005995941549718448,0.02438105250771146,0.17351117869618393,1.0,0.05364608095814266,0.2956111852305107,0.08169950499244531,-0.008637249305992722,0.05917513672051861,0.12954514142809656,0.005831477951053749,0.06972918294595057,-0.0023858060224498864,-0.014034980995607555,0.07946968767499032
Ecstasy_Frequent,0.09337098937612026,0.16929782263520457,-0.09196724598424653,-0.09808159240966137,0.13122505537217796,0.215148408894843,0.23879506095485598,-0.004531804781740659,-0.11518164511017874,-0.12033091268405377,-0.08701520372640907,-0.037504792178208055,-0.13666789372623162,0.13666789372623137,0.07304771020343434,0.2477182443285477,0.16125758569429383,0.1478198296389995,0.041596481033585944,0.032852833193211306,0.3765641757534974,0.05364608095814266,1.0,0.08907528880739458,0.2536925048848575,0.25410783842317214,0.3249710452536169,0.05667806221326059,0.2276701841949738,0.19656112874566295,0.06031660393743127,0.0558596384489876,-0.00893511825515219
Heroin_Frequent,-0.0720376465735785,0.043198494795286084,-0.1702977541623578,-0.11259738768887492,0.12040439524941043,0.12414391147083538,0.1213124986089679,-0.02594224107986775,-0.0328758868022641,-0.06427114415130719,-0.03874785552394236,-0.016700877623017467,-0.0801402491249817,0.08014024912498159,-0.021928489773666408,0.18655964590552618,0.01863939706421008,0.2336105879343314,0.01835923234624594,-0.017500282552590143,0.23706579313012607,0.2956111852305107,0.08907528880739458,1.0,0.10856498974968591,0.1174789550556709,0.09436275063625128,0.2591470194236307,0.0753993948484569,0.0990847562947471,-0.003918634438447974,0.025175711707354793,0.11858897799135223
Ketamine_Frequent,-0.0058635838272886615,0.09919185241953402,-0.049771827970847365,-0.10421652078660924,0.07084981626740432,0.10380790787434213,0.14548343417981371,0.005109456102118948,-0.08062738674978201,-0.07531342250867669,-0.04764607656219251,-0.02053613762935633,-0.10843446483935426,0.10843446483935422,0.04852060075199403,0.18353210768690145,0.11401016540982584,0.1338425864831932,0.02237151599265472,0.001769194484167548,0.1556233389297483,0.08169950499244531,0.2536925048848575,0.10856498974968591,1.0,0.24498204710783777,0.2059287955304591,0.035336381466310914,0.16514954513493701,0.1291507457831868,0.11015516824034569,0.011439688415403116,0.025837589709292858
Legal_Highs_Frequent,-0.0270767977379849,0.16819043396845743,-0.10701767907624449,-0.17645782020824965,0.1611046660492742,0.2315271464786386,0.23722848217856304,-0.030962679701375933,-0.11168493251524762,-0.10766441514594703,-0.05788002007938568,-0.03759427450871427,-0.20156119652907897,0.2015611965290786,-0.009559817984145558,0.3279890658534014,0.1716260161580953,0.233842945608468,0.035456787406377206,0.018924886311760387,0.15818581015326158,-0.008637249305992722,0.25410783842317214,0.1174789550556709,0.24498204710783777,1.0,0.2117792844946037,0.1556440185940168,0.23250078260021756,0.17880598451143026,-0.008820986663316276,0.12716958099636091,0.08272121119013315
LSD_Frequent,0.05179272579487406,0.2273682066625385,-0.03225018879739237,-0.08215992007223567,0.10425218842535826,0.20202220498493817,0.26604327994195937,-0.04018603198006067,-0.1308152847714189,-0.10778639478127418,-0.07079271644083199,-0.0305126690985201,-0.14959591446282228,0.14959591446282228,0.02653990324577898,0.1580429944918115,0.01783081234144204,0.08029204352097362,0.02792211374947425,0.022811761069487273,0.14144116411457477,0.05917513672051861,0.3249710452536169,0.09436275063625128,0.2059287955304591,0.2117792844946037,1.0,0.05176036641058735,0.4310880542211113,0.12366161226573975,-0.007159383993906832,0.15481025403676332,0.025337112055128477
Methamphetamine_Frequent,-0.10047888361836323,0.09260062187212952,-0.12150570710500351,-0.13781223554373123,0.12289536305514756,0.1487663746281167,0.10390977752656046,0.039681087523460085,-0.06746244853506622,-0.08486903168009756,-0.037839741061982804,-0.01202066704946299,-0.10881288874480353,0.10881288874480338,-0.06144120015425539,0.2525339673974337,0.07953149932833538,0.38364040719432846,0.02996982026025581,-0.041559972729992775,0.18992944751016166,0.12954514142809656,0.05667806221326059,0.2591470194236307,0.035336381466310914,0.1556440185940168,0.05176036641058735,1.0,0.05700069521496446,0.13564417603307902,-0.007276997021680976,0.10986308714047173,0.15509098582223296
Magic_Mushrooms_Frequent,0.01958114598114411,0.2115211889800808,-0.035571722146218336,-0.09094998601235131,0.10954961045437268,0.18753838583609703,0.220501866949859,-0.03753526021798941,-0.09280504154848165,-0.09890471142292707,-0.060329205057688726,-0.029801783819892975,-0.14682358263083042,0.14682358263083048,0.03086068931683467,0.17198337437390007,0.046347358097938635,0.11380185323016505,0.024972586278564603,0.0030007110465967886,0.13454601106276942,0.005831477951053749,0.2276701841949738,0.0753993948484569,0.16514954513493701,0.23250078260021756,0.4310880542211113,0.05700069521496446,1.0,0.10408662590911237,-0.006992584404238891,0.10229793758557061,0.00639723647066587
Nicotine_Frequent,0.004177326348317088,0.17480528630681194,-0.08340667990066886,-0.21010199508756067,0.23048253341336444,0.2680719488707266,0.2165813528409237,-0.007993116749745592,-0.0713477233222582,-0.1450436292322815,-0.06959831057134955,-0.03670180343466979,-0.17289578467992553,0.17289578467992553,0.025184059962101903,0.18422538222568918,0.1018623658796974,0.18986852930907575,0.10922900848229286,-0.004983600126531463,0.18446643641656857,0.06972918294595057,0.19656112874566295,0.0990847562947471,0.1291507457831868,0.17880598451143026,0.12366161226573975,0.13564417603307902,0.10408662590911237,1.0,0.024752337107756723,0.06568164731168,0.10740944920504114
Semer_Frequent,0.01579698742356779,0.007749609978651373,0.0358411342746984,0.038007781469834995,-0.030421682640519563,-0.0047923177307904125,0.03201952332095373,-0.013484924991005794,-0.011116825971664057,-0.009903714818150486,-0.005248461579700684,-0.0022621616955686478,0.023051009289393257,-0.023051009289393277,0.010691210617797034,0.06060631403637611,-0.003435350240264685,0.05306101436336366,0.0060339672064583915,0.00542420907278716,0.07590692252651762,-0.0023858060224498864,0.06031660393743127,-0.003918634438447974,0.11015516824034569,-0.008820986663316276,-0.007159383993906832,-0.007276997021680976,-0.006992584404238891,0.024752337107756723,1.0,-0.0031224522086850744,-0.01096132442244688
Inhalants_Frequent,0.02692561384866007,0.0648468691358377,-0.03463094913010939,-0.03328010431320404,0.08040839839085134,0.11672072581631736,0.10427937078932986,0.002963756027727362,-0.05521244626094486,-0.058260582776100016,-0.03087512473106894,-0.013307618518665323,-0.05573468328200138,0.05573468328200134,0.02113423663576461,0.09249705066467406,0.11642723169035617,0.137559215429621,0.03549601865108914,-0.0038298377239263386,0.10229793758557061,-0.014034980995607555,0.0558596384489876,0.025175711707354793,0.011439688415403116,0.12716958099636091,0.15481025403676332,0.10986308714047173,0.10229793758557061,0.06568164731168,-0.0031224522086850744,1.0,0.021093363300031004
Neuroticism (N-Score),-0.416182156812902,0.036813606440532345,-0.194682501765322,-0.3933079393510611,0.19014607474764383,0.09562982891831728,0.10423269824815562,0.038331110855018655,-0.015269983562277023,-0.0986691065858569,-0.09164881572579119,-0.0462829024122517,0.06530723898290212,-0.06530723898290225,-0.031872016788988954,0.11166081235593867,-0.0042333003116435085,0.2329857776373045,0.02065233274704448,-0.009160238921612473,0.0913131528086273,0.07946968767499032,-0.00893511825515219,0.11858897799135223,0.025837589709292858,0.08272121119013315,0.025337112055128477,0.15509098582223296,0.00639723647066587,0.10740944920504114,-0.01096132442244688,0.021093363300031004,1.0
